first_commit_message,title,first_comment,files_changed,file_extension,labels,lines_added,lines_removed,everything,all_excluding_first_commit,all_excluding_title,all_excluding_first_comment,all_excluding_labels,all_without_file_extensions,all_string_data,title_commit_comment,final_tag
"NetDb: If NetDb is empty, throw exception instead of killing NetDb th… ","NetDb: If NetDb is empty, throw exception instead of killing NetDb thread",…read,1,cpp,,2,2,"NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  NetDb: If NetDb is empty, throw exception instead of killing NetDb thread …read 1 cpp  2 2","NetDb: If NetDb is empty, throw exception instead of killing NetDb thread …read 1 cpp  2 2","NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  …read 1 cpp  2 2","NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  NetDb: If NetDb is empty, throw exception instead of killing NetDb thread 1 cpp  2 2","NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  NetDb: If NetDb is empty, throw exception instead of killing NetDb thread …read 1 cpp 2 2","NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  NetDb: If NetDb is empty, throw exception instead of killing NetDb thread …read 1  2 2","NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  NetDb: If NetDb is empty, throw exception instead of killing NetDb thread …read cpp ","NetDb: If NetDb is empty, throw exception instead of killing NetDb th…  NetDb: If NetDb is empty, throw exception instead of killing NetDb thread …read",feature
Make status and signal mutually exclusive in ds2::StopInfo.,Cleanup StopInfo structure a bit.,,9,cpp h,CLASigned,55,25,Make status and signal mutually exclusive in ds2::StopInfo. Cleanup StopInfo structure a bit.  9 cpp h CLASigned 55 25,Cleanup StopInfo structure a bit.  9 cpp h CLASigned 55 25,Make status and signal mutually exclusive in ds2::StopInfo.  9 cpp h CLASigned 55 25,Make status and signal mutually exclusive in ds2::StopInfo. Cleanup StopInfo structure a bit. 9 cpp h CLASigned 55 25,Make status and signal mutually exclusive in ds2::StopInfo. Cleanup StopInfo structure a bit.  9 cpp h 55 25,Make status and signal mutually exclusive in ds2::StopInfo. Cleanup StopInfo structure a bit.  9 CLASigned 55 25,Make status and signal mutually exclusive in ds2::StopInfo. Cleanup StopInfo structure a bit.  cpp h CLASigned,Make status and signal mutually exclusive in ds2::StopInfo. Cleanup StopInfo structure a bit. ,refactoring
Add new ru translations,Add new ru translations,New russian translations was added,1,php,,20,20,Add new ru translations Add new ru translations New russian translations was added 1 php  20 20,Add new ru translations New russian translations was added 1 php  20 20,Add new ru translations New russian translations was added 1 php  20 20,Add new ru translations Add new ru translations 1 php  20 20,Add new ru translations Add new ru translations New russian translations was added 1 php 20 20,Add new ru translations Add new ru translations New russian translations was added 1  20 20,Add new ru translations Add new ru translations New russian translations was added php ,Add new ru translations Add new ru translations New russian translations was added,translation
+ debian/,Debian package metadata,"As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9)",17,bsd d default install linux osx patch makefile,,252,66,"+ debian/ Debian package metadata As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9) 17 bsd d default install linux osx patch makefile  252 66","Debian package metadata As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9) 17 bsd d default install linux osx patch makefile  252 66","+ debian/ As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9) 17 bsd d default install linux osx patch makefile  252 66",+ debian/ Debian package metadata 17 bsd d default install linux osx patch makefile  252 66,"+ debian/ Debian package metadata As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9) 17 bsd d default install linux osx patch makefile 252 66","+ debian/ Debian package metadata As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9) 17  252 66","+ debian/ Debian package metadata As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9) bsd d default install linux osx patch makefile ","+ debian/ Debian package metadata As side-effect - modified Makefiles: common targets moved to top-level Makefile removed explicit -Wl,-rpath, because it breaks normal libraries search Changed -std=c++0x -> -std=c++11 (reported problems with gcc 4.9)",feature
initial plugin,Openmanage,"A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status.",2,py md,,170,0,"initial plugin Openmanage A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status. 2 py md  170 0","Openmanage A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status. 2 py md  170 0","initial plugin A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status. 2 py md  170 0",initial plugin Openmanage 2 py md  170 0,"initial plugin Openmanage A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status. 2 py md 170 0","initial plugin Openmanage A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status. 2  170 0","initial plugin Openmanage A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status. py md ","initial plugin Openmanage A plugin for checking the health of individual disks in a RAID array, using Dell's OMSA omreport command to collect the status.",feature
Simplify Travis configs and scripts.,[WIP] Simplify Travis configs and scripts.,,4,yml sh py,CLASigned,147,186,Simplify Travis configs and scripts. [WIP] Simplify Travis configs and scripts.  4 yml sh py CLASigned 147 186,[WIP] Simplify Travis configs and scripts.  4 yml sh py CLASigned 147 186,Simplify Travis configs and scripts.  4 yml sh py CLASigned 147 186,Simplify Travis configs and scripts. [WIP] Simplify Travis configs and scripts. 4 yml sh py CLASigned 147 186,Simplify Travis configs and scripts. [WIP] Simplify Travis configs and scripts.  4 yml sh py 147 186,Simplify Travis configs and scripts. [WIP] Simplify Travis configs and scripts.  4 CLASigned 147 186,Simplify Travis configs and scripts. [WIP] Simplify Travis configs and scripts.  yml sh py CLASigned,Simplify Travis configs and scripts. [WIP] Simplify Travis configs and scripts. ,configuration
Only disable RegisterVariables tests on gcc,Only disable RegisterVariables tests on gcc,,1,patch,CLASigned,3,3,Only disable RegisterVariables tests on gcc Only disable RegisterVariables tests on gcc  1 patch CLASigned 3 3,Only disable RegisterVariables tests on gcc  1 patch CLASigned 3 3,Only disable RegisterVariables tests on gcc  1 patch CLASigned 3 3,Only disable RegisterVariables tests on gcc Only disable RegisterVariables tests on gcc 1 patch CLASigned 3 3,Only disable RegisterVariables tests on gcc Only disable RegisterVariables tests on gcc  1 patch 3 3,Only disable RegisterVariables tests on gcc Only disable RegisterVariables tests on gcc  1 CLASigned 3 3,Only disable RegisterVariables tests on gcc Only disable RegisterVariables tests on gcc  patch CLASigned,Only disable RegisterVariables tests on gcc Only disable RegisterVariables tests on gcc ,testing
webirc support,WebIRC support,,4,cpp h,,32,12,webirc support WebIRC support  4 cpp h  32 12,WebIRC support  4 cpp h  32 12,webirc support  4 cpp h  32 12,webirc support WebIRC support 4 cpp h  32 12,webirc support WebIRC support  4 cpp h 32 12,webirc support WebIRC support  4  32 12,webirc support WebIRC support  cpp h ,webirc support WebIRC support ,feature
* Further hardening of error handling (this time for Replace operations),Further hardening of error handling (this time for Replace operations),,4,java json,,60,5,* Further hardening of error handling (this time for Replace operations) Further hardening of error handling (this time for Replace operations)  4 java json  60 5,Further hardening of error handling (this time for Replace operations)  4 java json  60 5,* Further hardening of error handling (this time for Replace operations)  4 java json  60 5,* Further hardening of error handling (this time for Replace operations) Further hardening of error handling (this time for Replace operations) 4 java json  60 5,* Further hardening of error handling (this time for Replace operations) Further hardening of error handling (this time for Replace operations)  4 java json 60 5,* Further hardening of error handling (this time for Replace operations) Further hardening of error handling (this time for Replace operations)  4  60 5,* Further hardening of error handling (this time for Replace operations) Further hardening of error handling (this time for Replace operations)  java json ,* Further hardening of error handling (this time for Replace operations) Further hardening of error handling (this time for Replace operations) ,feature
Add docs badge to README ,Add docs badge to README,"Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think?",1,md,,1,1,"Add docs badge to README  Add docs badge to README Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think? 1 md  1 1","Add docs badge to README Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think? 1 md  1 1","Add docs badge to README  Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think? 1 md  1 1",Add docs badge to README  Add docs badge to README 1 md  1 1,"Add docs badge to README  Add docs badge to README Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think? 1 md 1 1","Add docs badge to README  Add docs badge to README Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think? 1  1 1","Add docs badge to README  Add docs badge to README Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think? md ","Add docs badge to README  Add docs badge to README Hi Dustin, this patch adds a docs badge to the README to show off inline-documentation to potential contributors: Inline docs The badge links to Inch CI, a project that tries to raise the visibility of inline-docs to encourage aspiring Rubyists to document their code. Your status page is http://inch-ci.org/github/zeisler/active_mocker/ nch CI is still in its infancy, but already used by projects like Bundler, Guard, Haml, Pry, and ROM. What do you think?",documentation
"While running unit tests, came across a case where ""Cancel()"" could b…",Couchdb sync issues,Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email.,3,cs,,6,3,"While running unit tests, came across a case where ""Cancel()"" could b… Couchdb sync issues Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email. 3 cs  6 3",Couchdb sync issues Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email. 3 cs  6 3,"While running unit tests, came across a case where ""Cancel()"" could b… Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email. 3 cs  6 3","While running unit tests, came across a case where ""Cancel()"" could b… Couchdb sync issues 3 cs  6 3","While running unit tests, came across a case where ""Cancel()"" could b… Couchdb sync issues Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email. 3 cs 6 3","While running unit tests, came across a case where ""Cancel()"" could b… Couchdb sync issues Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email. 3  6 3","While running unit tests, came across a case where ""Cancel()"" could b… Couchdb sync issues Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email. cs ","While running unit tests, came across a case where ""Cancel()"" could b… Couchdb sync issues Fixed issues with pulling from CouchDB. There are still some issues pushing. Will follow-up with email.",bug
Fixed a memory leak on the master project ,Fixed a memory leak on the master project,Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak.,1,cpp,,0,6,Fixed a memory leak on the master project  Fixed a memory leak on the master project Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak. 1 cpp  0 6,Fixed a memory leak on the master project Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak. 1 cpp  0 6,Fixed a memory leak on the master project  Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak. 1 cpp  0 6,Fixed a memory leak on the master project  Fixed a memory leak on the master project 1 cpp  0 6,Fixed a memory leak on the master project  Fixed a memory leak on the master project Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak. 1 cpp 0 6,Fixed a memory leak on the master project  Fixed a memory leak on the master project Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak. 1  0 6,Fixed a memory leak on the master project  Fixed a memory leak on the master project Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak. cpp ,Fixed a memory leak on the master project  Fixed a memory leak on the master project Removed code that allocated a new handle for sql while the handle was already allocated causing a memory leak.,bug
Push log file logic down from main into Log class ,Enable Concurrent testing,"Depends on enable/disable PR, but putting up separately in case there are other issues.",18,blacklist cpp h,CLASigned ContinuousIntegration WorkInProgress linux,150,174,"Push log file logic down from main into Log class  Enable Concurrent testing Depends on enable/disable PR, but putting up separately in case there are other issues. 18 blacklist cpp h CLASigned ContinuousIntegration WorkInProgress linux 150 174","Enable Concurrent testing Depends on enable/disable PR, but putting up separately in case there are other issues. 18 blacklist cpp h CLASigned ContinuousIntegration WorkInProgress linux 150 174","Push log file logic down from main into Log class  Depends on enable/disable PR, but putting up separately in case there are other issues. 18 blacklist cpp h CLASigned ContinuousIntegration WorkInProgress linux 150 174",Push log file logic down from main into Log class  Enable Concurrent testing 18 blacklist cpp h CLASigned ContinuousIntegration WorkInProgress linux 150 174,"Push log file logic down from main into Log class  Enable Concurrent testing Depends on enable/disable PR, but putting up separately in case there are other issues. 18 blacklist cpp h 150 174","Push log file logic down from main into Log class  Enable Concurrent testing Depends on enable/disable PR, but putting up separately in case there are other issues. 18 CLASigned ContinuousIntegration WorkInProgress linux 150 174","Push log file logic down from main into Log class  Enable Concurrent testing Depends on enable/disable PR, but putting up separately in case there are other issues. blacklist cpp h CLASigned ContinuousIntegration WorkInProgress linux","Push log file logic down from main into Log class  Enable Concurrent testing Depends on enable/disable PR, but putting up separately in case there are other issues.",testing
De-duplicate a bunch of code in platform mode. ,De-duplicate some platform code.,,14,cpp h txt,CLASigned,311,591,De-duplicate a bunch of code in platform mode.  De-duplicate some platform code.  14 cpp h txt CLASigned 311 591,De-duplicate some platform code.  14 cpp h txt CLASigned 311 591,De-duplicate a bunch of code in platform mode.   14 cpp h txt CLASigned 311 591,De-duplicate a bunch of code in platform mode.  De-duplicate some platform code. 14 cpp h txt CLASigned 311 591,De-duplicate a bunch of code in platform mode.  De-duplicate some platform code.  14 cpp h txt 311 591,De-duplicate a bunch of code in platform mode.  De-duplicate some platform code.  14 CLASigned 311 591,De-duplicate a bunch of code in platform mode.  De-duplicate some platform code.  cpp h txt CLASigned,De-duplicate a bunch of code in platform mode.  De-duplicate some platform code. ,refactoring
Bugfix for auto-rotating photos based on exif data ,Bugfix for auto-rotating photos based on exif data,Detail here: #142,1,php,,2,2,Bugfix for auto-rotating photos based on exif data  Bugfix for auto-rotating photos based on exif data Detail here: #142 1 php  2 2,Bugfix for auto-rotating photos based on exif data Detail here: #142 1 php  2 2,Bugfix for auto-rotating photos based on exif data  Detail here: #142 1 php  2 2,Bugfix for auto-rotating photos based on exif data  Bugfix for auto-rotating photos based on exif data 1 php  2 2,Bugfix for auto-rotating photos based on exif data  Bugfix for auto-rotating photos based on exif data Detail here: #142 1 php 2 2,Bugfix for auto-rotating photos based on exif data  Bugfix for auto-rotating photos based on exif data Detail here: #142 1  2 2,Bugfix for auto-rotating photos based on exif data  Bugfix for auto-rotating photos based on exif data Detail here: #142 php ,Bugfix for auto-rotating photos based on exif data  Bugfix for auto-rotating photos based on exif data Detail here: #142,bug
Merge pull request #1 from iluwatar/master,Merge pull request #1 from iluwatar/master,Bringing fork up-to-date,0,,,0,0,Merge pull request #1 from iluwatar/master Merge pull request #1 from iluwatar/master Bringing fork up-to-date 0   0 0,Merge pull request #1 from iluwatar/master Bringing fork up-to-date 0   0 0,Merge pull request #1 from iluwatar/master Bringing fork up-to-date 0   0 0,Merge pull request #1 from iluwatar/master Merge pull request #1 from iluwatar/master 0   0 0,Merge pull request #1 from iluwatar/master Merge pull request #1 from iluwatar/master Bringing fork up-to-date 0  0 0,Merge pull request #1 from iluwatar/master Merge pull request #1 from iluwatar/master Bringing fork up-to-date 0  0 0,Merge pull request #1 from iluwatar/master Merge pull request #1 from iluwatar/master Bringing fork up-to-date  ,Merge pull request #1 from iluwatar/master Merge pull request #1 from iluwatar/master Bringing fork up-to-date,other
add link to single coworker page,add link to single coworker page,@tclauzier,1,php,,7,9,add link to single coworker page add link to single coworker page @tclauzier 1 php  7 9,add link to single coworker page @tclauzier 1 php  7 9,add link to single coworker page @tclauzier 1 php  7 9,add link to single coworker page add link to single coworker page 1 php  7 9,add link to single coworker page add link to single coworker page @tclauzier 1 php 7 9,add link to single coworker page add link to single coworker page @tclauzier 1  7 9,add link to single coworker page add link to single coworker page @tclauzier php ,add link to single coworker page add link to single coworker page @tclauzier,feature
use std::move,More OSX fixes,,2,cpp h,,1,7,use std::move More OSX fixes  2 cpp h  1 7,More OSX fixes  2 cpp h  1 7,use std::move  2 cpp h  1 7,use std::move More OSX fixes 2 cpp h  1 7,use std::move More OSX fixes  2 cpp h 1 7,use std::move More OSX fixes  2  1 7,use std::move More OSX fixes  cpp h ,use std::move More OSX fixes ,bug
thread sanitizer configuration option have been added,thread sanitizer configuration option have been added,,1,txt,,16,2,thread sanitizer configuration option have been added thread sanitizer configuration option have been added  1 txt  16 2,thread sanitizer configuration option have been added  1 txt  16 2,thread sanitizer configuration option have been added  1 txt  16 2,thread sanitizer configuration option have been added thread sanitizer configuration option have been added 1 txt  16 2,thread sanitizer configuration option have been added thread sanitizer configuration option have been added  1 txt 16 2,thread sanitizer configuration option have been added thread sanitizer configuration option have been added  1  16 2,thread sanitizer configuration option have been added thread sanitizer configuration option have been added  txt ,thread sanitizer configuration option have been added thread sanitizer configuration option have been added ,feature
heck whether process exists when determining remote functionality,Check whether process exists when determining remote functionality,,1,cpp,,3,3,heck whether process exists when determining remote functionality Check whether process exists when determining remote functionality  1 cpp  3 3,Check whether process exists when determining remote functionality  1 cpp  3 3,heck whether process exists when determining remote functionality  1 cpp  3 3,heck whether process exists when determining remote functionality Check whether process exists when determining remote functionality 1 cpp  3 3,heck whether process exists when determining remote functionality Check whether process exists when determining remote functionality  1 cpp 3 3,heck whether process exists when determining remote functionality Check whether process exists when determining remote functionality  1  3 3,heck whether process exists when determining remote functionality Check whether process exists when determining remote functionality  cpp ,heck whether process exists when determining remote functionality Check whether process exists when determining remote functionality ,feature
Add function to get a program's path or die with an error message,Add some facilities to debug tests and clean up run-lldb-tests.py,"Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB",3,sh patch,CLASigned,44,12,"Add function to get a program's path or die with an error message Add some facilities to debug tests and clean up run-lldb-tests.py Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB 3 sh patch CLASigned 44 12","Add some facilities to debug tests and clean up run-lldb-tests.py Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB 3 sh patch CLASigned 44 12","Add function to get a program's path or die with an error message Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB 3 sh patch CLASigned 44 12",Add function to get a program's path or die with an error message Add some facilities to debug tests and clean up run-lldb-tests.py 3 sh patch CLASigned 44 12,"Add function to get a program's path or die with an error message Add some facilities to debug tests and clean up run-lldb-tests.py Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB 3 sh patch 44 12","Add function to get a program's path or die with an error message Add some facilities to debug tests and clean up run-lldb-tests.py Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB 3 CLASigned 44 12","Add function to get a program's path or die with an error message Add some facilities to debug tests and clean up run-lldb-tests.py Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB sh patch CLASigned","Add function to get a program's path or die with an error message Add some facilities to debug tests and clean up run-lldb-tests.py Clean up some repetitive code, clean up some formatting and add an option to run the test suite under control of PUDB",testing
Adding option to configure reseed URLs,Adding option to configure reseed URLs,"You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs.",3,md cpp,,23,20,"Adding option to configure reseed URLs Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs. 3 md cpp  23 20","Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs. 3 md cpp  23 20","Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs. 3 md cpp  23 20",Adding option to configure reseed URLs Adding option to configure reseed URLs 3 md cpp  23 20,"Adding option to configure reseed URLs Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs. 3 md cpp 23 20","Adding option to configure reseed URLs Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs. 3  23 20","Adding option to configure reseed URLs Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs. md cpp ","Adding option to configure reseed URLs Adding option to configure reseed URLs You now can run i2pd with options like ./i2pd --reseed.urls https://url1.com:8443/,https://url2.com/ And it will download reseed data from those URLs.",feature
Fixed NRE in bulk downloader.,Fixed NRE in bulk downloader.,"Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.)",1,cs,,12,2,"Fixed NRE in bulk downloader. Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.) 1 cs  12 2","Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.) 1 cs  12 2","Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.) 1 cs  12 2",Fixed NRE in bulk downloader. Fixed NRE in bulk downloader. 1 cs  12 2,"Fixed NRE in bulk downloader. Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.) 1 cs 12 2","Fixed NRE in bulk downloader. Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.) 1  12 2","Fixed NRE in bulk downloader. Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.) cs ","Fixed NRE in bulk downloader. Fixed NRE in bulk downloader. Hi, I've fixed what I understand to be a bug in BulkDownloader. You can see how in the first removed line you've requested the response.StatusCode while in the second line there is a condition response == null making the first line prone to NREs. (And I've got this NRE while running the replication when the server refuses connection.)",bug
Checking if number of tab is 1 when Ctrl+w is pressed and then hide c…,Number enhancement,,1,py,,9,0,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c… Number enhancement  1 py  9 0,Number enhancement  1 py  9 0,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c…  1 py  9 0,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c… Number enhancement 1 py  9 0,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c… Number enhancement  1 py 9 0,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c… Number enhancement  1  9 0,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c… Number enhancement  py ,Checking if number of tab is 1 when Ctrl+w is pressed and then hide c… Number enhancement ,feature
inet_pton for winxp,inet_pton for winxp,"Perhaps not very nicely executed, so suggestions are welcome.",1,cpp,,195,177,"inet_pton for winxp inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome. 1 cpp  195 177","inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome. 1 cpp  195 177","inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome. 1 cpp  195 177",inet_pton for winxp inet_pton for winxp 1 cpp  195 177,"inet_pton for winxp inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome. 1 cpp 195 177","inet_pton for winxp inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome. 1  195 177","inet_pton for winxp inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome. cpp ","inet_pton for winxp inet_pton for winxp Perhaps not very nicely executed, so suggestions are welcome.",feature
Some siginfo_t values are linux-specific.,Small fixes,,4, h cpp,CLASigned,10,1,Some siginfo_t values are linux-specific. Small fixes  4  h cpp CLASigned 10 1,Small fixes  4  h cpp CLASigned 10 1,Some siginfo_t values are linux-specific.  4  h cpp CLASigned 10 1,Some siginfo_t values are linux-specific. Small fixes 4  h cpp CLASigned 10 1,Some siginfo_t values are linux-specific. Small fixes  4  h cpp 10 1,Some siginfo_t values are linux-specific. Small fixes  4 CLASigned 10 1,Some siginfo_t values are linux-specific. Small fixes   h cpp CLASigned,Some siginfo_t values are linux-specific. Small fixes ,bug
set supported transports flag after actual address insertion,recent changes,,16,cpp h makefile,,148,76,set supported transports flag after actual address insertion recent changes  16 cpp h makefile  148 76,recent changes  16 cpp h makefile  148 76,set supported transports flag after actual address insertion  16 cpp h makefile  148 76,set supported transports flag after actual address insertion recent changes 16 cpp h makefile  148 76,set supported transports flag after actual address insertion recent changes  16 cpp h makefile 148 76,set supported transports flag after actual address insertion recent changes  16  148 76,set supported transports flag after actual address insertion recent changes  cpp h makefile ,set supported transports flag after actual address insertion recent changes ,feature
